ì˙éû,ãCâ∑(Åé),ëæózçÇìx(degree)
2021/6/1 1:00,16.7,-29.21
2021/6/1 2:00,16.3,-23.33
2021/6/1 3:00,15.2,-15.2
2021/6/1 4:00,15.6,-5.45
2021/6/1 5:00,16.1,5.42
2021/6/1 6:00,16.3,16.81
2021/6/1 7:00,17.3,28.72
2021/6/1 8:00,18.8,40.86
2021/6/1 9:00,19,52.98
2021/6/1 10:00,21.3,64.57
2021/6/1 11:00,23.1,74
2021/6/1 12:00,23.8,75.66
2021/6/1 13:00,24,67.72
2021/6/1 14:00,24.8,56.49
2021/6/1 15:00,24.8,44.46
2021/6/1 16:00,24.3,32.3
2021/6/1 17:00,23,20.3
2021/6/1 18:00,21.8,8.72
2021/6/1 19:00,20.8,-2.25
2021/6/1 20:00,20.5,-12.42
2021/6/1 21:00,20,-21.06
2021/6/1 22:00,19.9,-27.65
2021/6/1 23:00,19.3,-31.48
2021/6/2 0:00,19.8,-31.99
2021/6/2 1:00,19.8,-29.21
2021/6/2 2:00,19.7,-23.33
2021/6/2 3:00,19.6,-15.2
2021/6/2 4:00,19.6,-5.45
2021/6/2 5:00,19.5,5.42
2021/6/2 6:00,19.8,16.81
2021/6/2 7:00,21.4,28.72
2021/6/2 8:00,22,40.86
2021/6/2 9:00,22.6,52.98
2021/6/2 10:00,23.1,64.57
2021/6/2 11:00,23.2,74
2021/6/2 12:00,24.3,75.66
2021/6/2 13:00,25.4,67.72
2021/6/2 14:00,25.4,56.49
2021/6/2 15:00,24.8,44.46
2021/6/2 16:00,24.6,32.3
2021/6/2 17:00,24.2,20.3
2021/6/2 18:00,23.1,8.72
2021/6/2 19:00,22.3,-2.25
2021/6/2 20:00,20.8,-12.42
2021/6/2 21:00,20.9,-21.06
2021/6/2 22:00,21,-27.65
2021/6/2 23:00,20.4,-31.48
2021/6/3 0:00,20.4,-31.99
2021/6/3 1:00,19.8,-29.21
2021/6/3 2:00,18.6,-23.33
2021/6/3 3:00,18.4,-15.2
2021/6/3 4:00,18.8,-5.45
2021/6/3 5:00,19.8,5.42
2021/6/3 6:00,21,16.81
2021/6/3 7:00,21.6,28.72
2021/6/3 8:00,22,40.86
2021/6/3 9:00,23.9,52.98
2021/6/3 10:00,24.7,64.57
2021/6/3 11:00,25.1,74
2021/6/3 12:00,24.9,75.66
2021/6/3 13:00,26,67.72
2021/6/3 14:00,25.7,56.49
2021/6/3 15:00,25.1,44.46
2021/6/3 16:00,24.4,32.3
2021/6/3 17:00,24.1,20.3
2021/6/3 18:00,23.1,8.72
2021/6/3 19:00,22.5,-2.25
2021/6/3 20:00,21.5,-12.42
2021/6/3 21:00,21.5,-21.06
2021/6/3 22:00,19.4,-27.65
2021/6/3 23:00,19.4,-31.48
2021/6/4 0:00,19.3,-31.99
