îRîÔ,é‘ëÃèdó ,îrãCó ,înóÕ,ëœãvîNêî
33,2560,97,113,12
33,2345,114,90,8
37,1845,81,63,12
32,2260,91,92,13
32,2440,113,103,13
26,2285,97,82,12
33,2275,97,90,13
28,2350,98,74,8
25,2295,109,90,13
29,2390,97,102,13
35,2075,89,78,13
26,2330,109,100,9
20,3320,305,170,8
27,2885,153,100,8
19,3310,302,225,8
30,2695,133,110,9
33,2170,97,108,13
27,2710,125,140,13
24,2775,146,140,10
23,2640,151,110,8
26,2655,133,95,9
25,3065,181,141,12
24,2750,141,98,9
26,2920,132,125,13
24,2780,133,110,12
25,2745,122,102,13
21,3110,181,142,12
21,2920,146,138,13
23,2645,151,110,9
23,2935,135,130,13
27,2920,122,115,13
23,2985,141,114,10
20,3265,163,160,13
21,2880,151,110,10
22,2975,153,150,9
22,3450,202,147,10
22,3145,180,150,9
22,3190,182,140,10
23,3610,232,140,8
21,3480,180,158,13
22,3200,180,160,13
21,2765,151,110,9
23,3480,180,190,10
23,3325,231,165,10
18,3855,305,170,8
20,3850,302,150,10
18,3735,202,150,10
18,3665,182,145,10
19,3735,181,150,13
